location,date,avg,median,high,low,std,obs
PEPCO,2020-02-28,21.675791833333335,20.2232985,30.862299,18.035513,3.8504118221480246,24
PEPCO,2020-02-29,20.347146583333334,19.899653999999998,25.038134,17.467084,2.396044673400673,24
PEPCO,2020-03-01,19.125131791666668,19.366703,24.599794,14.26899,2.9203980513793284,24
PEPCO,2020-03-02,21.22869325,21.7950745,30.566291,15.246292,4.542898018456676,24
PEPCO,2020-03-03,21.520470333333332,20.6152135,29.417985,16.977579,3.754687563871439,24
PEPCO,2020-03-04,18.688992625,18.915072000000002,25.895331,12.487313,3.7118161862205477,24
PEPCO,2020-03-05,21.051550166666665,19.6764565,37.464433,15.877007,5.1499155876502165,24
PEPCO,2020-03-06,24.475079583333336,23.6379835,38.915445,15.757564,6.682356706238294,24
PEPCO,2020-03-07,22.779828666666663,21.4996,32.586981,16.505892,4.533307257720529,24
PEPCO,2020-03-08,18.533124291666667,18.068466,25.510082,13.618423,3.556480948557943,24
PEPCO,2020-03-09,19.262469541666665,18.285163500000003,34.673065,12.499571,5.678102644844767,24
PEPCO,2020-03-10,19.1721285,19.739413,32.661724,11.630635,5.288621302880232,24
PEPCO,2020-03-11,20.80553804166667,20.489110500000002,33.987202,13.411369,5.246052128210264,24
PEPCO,2020-03-12,21.19561325,19.2921005,38.626086,15.213095,5.780229402150216,24
PEPCO,2020-03-13,17.66246175,18.2196475,23.827744,12.045774,3.4491680160380986,24
PEPCO,2020-03-14,18.600822458333333,18.566903,24.54653,14.68875,2.6930221867688218,24
PEPCO,2020-03-15,18.600636375,18.6218675,27.380896,14.603018,2.6314125534253296,24
PEPCO,2020-03-16,22.232607125,20.3199565,43.904984,16.913202,6.048211458603749,24
PEPCO,2020-03-17,21.442801,20.187054500000002,31.971,14.968388,4.892566266784992,24
PEPCO,2020-03-18,19.259212583333333,19.1037215,25.902445,14.557212,2.9451446805958423,24
PEPCO,2020-03-19,17.663031666666665,18.392055499999998,21.742053,12.369075,2.710077352799598,24
PEPCO,2020-03-20,16.41125925,17.541016499999998,22.667629,9.916433,4.394133417655499,24
PEPCO,2020-03-21,16.527635875,16.981549,22.053961,11.736186,2.774171477591342,24
PEPCO,2020-03-22,16.430037333333335,15.885174500000002,20.501836,14.000503,1.7261573941630315,24
PEPCO,2020-03-23,18.609930625,19.1155725,22.949602,13.67267,3.09237762904569,24
PEPCO,2020-03-24,18.346884499999998,18.6583625,22.925166,13.809496,2.775889705936381,24
PEPCO,2020-03-25,18.91525916666667,19.4045975,23.414413,13.694462,3.211840939114672,24
PEPCO,2020-03-26,17.596702083333334,18.1122325,22.678676,12.187518,3.0957796640554824,24
PEPCO,2020-03-27,15.969496958333332,17.1770465,19.722708,10.848572,2.9078379946623203,24
PEPCO,2020-03-28,13.445227333333333,13.8866645,17.029465,9.787551,2.4504916288895586,24
PEPCO,2020-03-29,12.616761791666667,13.4210895,17.687635,8.804856,2.7076634952926852,24
PEPCO,2020-03-30,14.59495375,15.8099885,20.410452,9.073979,3.458229580588791,24
PEPCO,2020-03-31,17.946805166666667,19.536414999999998,22.094711,11.890794,3.491351358278484,24
PEPCO,2020-04-01,17.75471608333333,17.8258375,21.733709,13.177226,2.582767983426626,24
PEPCO,2020-04-02,17.835528333333333,17.0772515,28.117367,14.584788,3.2968074664509,24
PEPCO,2020-04-03,15.996145916666668,15.342287500000001,21.029611,12.426937,2.479546789178793,24
PEPCO,2020-04-04,14.619474708333334,14.864638,17.688985,11.692975,1.8255970072917416,24
PEPCO,2020-04-05,13.106034083333334,13.133093500000001,17.920288,9.915864,2.155069032483181,24
PEPCO,2020-04-06,17.511380125,18.4488345,22.221432,11.653794,3.078646293283537,24
PEPCO,2020-04-07,16.479845625,17.803257000000002,22.303116,10.073409,3.8116954165321104,24
PEPCO,2020-04-08,18.151372583333334,18.346103499999998,26.045577,10.311814,5.574592114606629,24
PEPCO,2020-04-09,15.36134975,16.0667975,23.099618,10.997863,2.738112952015791,24
PEPCO,2020-04-10,17.371955583333335,16.989662000000003,21.663827,13.968574,2.4191598536628356,24
PEPCO,2020-04-11,17.696679416666665,17.884058000000003,20.414566,14.397148,1.678637490540026,24
PEPCO,2020-04-12,16.429008875,15.804051000000001,21.111615,14.471714,1.723356931285371,24
PEPCO,2020-04-13,17.9565915,19.303637000000002,23.956933,11.627407,3.7085533761214404,24
PEPCO,2020-04-14,18.237225,18.329663500000002,25.813873,13.426255,3.167656071082611,24
PEPCO,2020-04-15,19.112477791666667,17.644599,27.521396,15.419283,3.6859536900080547,24
PEPCO,2020-04-16,19.549562291666668,17.638748,32.04905,15.593545,4.090545859788807,24
PEPCO,2020-04-17,18.5110615,17.6542045,26.159457,15.169459,3.0840744455051103,24
PEPCO,2020-04-18,15.631628166666667,15.1617265,19.617591,13.406388,1.6825341644885263,24
PEPCO,2020-04-19,16.24944916666667,15.763933999999999,20.095459,14.600861,1.49243002277656,24
PEPCO,2020-04-20,18.178091916666666,18.02816,24.769438,13.609212,3.0684274981631297,24
PEPCO,2020-04-21,17.314403708333334,17.382704500000003,27.779679,13.209942,3.1076347522762813,24
PEPCO,2020-04-22,18.591469125,18.130395999999998,24.65442,15.387489,2.5330974354678433,24
PEPCO,2020-04-23,18.620622291666667,19.228665999999997,22.53535,13.887863,2.671617218261671,24
PEPCO,2020-04-24,18.451660458333333,19.056507500000002,21.848936,13.895122,2.6455536366113215,24
PEPCO,2020-04-25,17.508449458333335,17.233047499999998,20.240778,15.240702,1.5557808790020067,24
PEPCO,2020-04-26,16.616471208333333,17.603402000000003,21.692115,12.826648,2.812142808926086,24
PEPCO,2020-04-27,19.268131333333333,19.0733195,24.683452,14.654818,2.8631516059596422,24
PEPCO,2020-04-28,18.285787708333334,18.791832,23.897492,13.906754,2.4557832383304214,24
PEPCO,2020-04-29,17.81033175,18.902934000000002,22.057864,12.883989,2.7485622992898797,24
PEPCO,2020-04-30,16.690268791666668,17.711436499999998,21.059784,12.080626,2.6526046062971025,24
PEPCO,2020-05-01,17.842687083333335,18.448007,21.110056,13.461002,2.2315048564482005,24
PEPCO,2020-05-02,15.977253541666668,16.1752125,19.811157,13.272892,1.908616336484308,24
PEPCO,2020-05-03,17.674370541666665,17.048917,24.530902,12.427401,4.318144100949952,24
PEPCO,2020-05-04,19.177821041666665,19.807335000000002,25.660736,12.210755,3.4664062327633207,24
